"parameter_name","display_name","description","units","distribution","scale","category","order","order_scale","order_category","order_parameter","posterior_distribution","posterior_lower","posterior_upper"
"alpha_1","Population Mixing","Population mixing within metapops (0-1, 1 = well-mixed)","proportion","beta","global","transmission",1,"01","01","01","beta",NA,NA
"alpha_2","Frequency-Driven Transmission","Degree of frequency driven transmission (0-1)","proportion","beta","global","transmission",2,"01","01","02","beta",NA,NA
"decay_days_short","Minimum V. cholerae Survival","Minimum V. cholerae survival time in environment","days","uniform","global","environmental",3,"01","02","01","lognormal",NA,NA
"decay_days_long","Maximum V. cholerae Survival","Maximum V. cholerae survival time in environment","days","uniform","global","environmental",4,"01","02","02","lognormal",NA,NA
"decay_shape_1","Decay Shape Parameter 1","First shape parameter of Beta distribution for V. cholerae decay","dimensionless","uniform","global","environmental",5,"01","02","03","gamma",NA,NA
"decay_shape_2","Decay Shape Parameter 2","Second shape parameter of Beta distribution for V. cholerae decay","dimensionless","uniform","global","environmental",6,"01","02","04","gamma",NA,NA
"zeta_1","Symptomatic Shedding Rate","Shedding rate for symptomatic infections","bacteria/day (rate)","lognormal","global","environmental",7,"01","02","05","lognormal",NA,NA
"zeta_2","Asymptomatic Shedding Rate","Shedding rate for asymptomatic infections","bacteria/day (rate)","lognormal","global","environmental",8,"01","02","06","lognormal",NA,NA
"kappa","50% Infectious Dose","Concentration of V. cholerae for 50% infectious dose","bacteria/mL","lognormal","global","environmental",9,"01","02","07","lognormal",NA,NA
"iota","Incubation Rate","Rate parameter for incubation period (per day, 1/iota = mean incubation time)","per day (rate)","lognormal","global","disease",10,"01","03","01","lognormal",NA,NA
"sigma","Proportion Symptomatic","Proportion of infections that are symptomatic","proportion","beta","global","disease",11,"01","03","02","beta",NA,NA
"gamma_1","Symptomatic Recovery Rate","Recovery rate for symptomatic/severe infections","per day (rate)","lognormal","global","disease",12,"01","03","03","lognormal",NA,NA
"gamma_2","Asymptomatic Recovery Rate","Recovery rate for asymptomatic/mild infections","per day (rate)","lognormal","global","disease",13,"01","03","04","lognormal",NA,NA
"phi_1","One-Dose Vaccine Effectiveness","Initial vaccine effectiveness for one dose","proportion","beta","global","immunity",14,"01","04","01","beta",NA,NA
